Occupation,Marital Status,Emirate,Country,Gender,support,Coverage,Education,Income
,Single,Dubai,Pakistan,,0.020477815699658702,Basic,,0
Self-Employed,Married,,India,F,0.020477815699658702,Basic,,
,Single,Dubai,China,,0.020477815699658702,Basic,,0
,,Dubai,Philipines,F,0.020477815699658702,Basic,,0
Self-Employed,Married,,Pakistan,F,0.020477815699658702,,,0
Employed,Single,Dubai,India,F,0.020477815699658702,,,
Employed,,Dubai,India,,0.020477815699658702,Basic,Bachelor,
,,,India,F,0.020477815699658702,Basic,College,0
,Married,Dubai,Pakistan,F,0.020477815699658702,,High School or Below,
Employed,Married,Dubai,Other,,0.020477815699658702,Extended,,
,Married,Dubai,Philipines,F,0.020477815699658702,,,0
,Married,,Philipines,F,0.020477815699658702,Basic,High School or Below,
Employed,Married,,Other,F,0.020477815699658702,Extended,,
Employed,Married,,China,F,0.020477815699658702,Extended,,
,Married,Dubai,China,F,0.020477815699658702,Extended,,
Employed,Married,Dubai,China,,0.020477815699658702,Extended,,
,Married,,Philipines,F,0.020477815699658702,Extended,High School or Below,
Employed,,Dubai,Philipines,,0.020477815699658702,Basic,College,
Self-Employed,,Dubai,,F,0.020477815699658702,,Master,0
,Married,Dubai,Philipines,,0.020477815699658702,Basic,High School or Below,
,Married,Dubai,China,,0.020477815699658702,Basic,High School or Below,
Employed,,Dubai,Pakistan,,0.020477815699658702,Extended,College,
,Divorced,Dubai,,F,0.020477815699658702,,College,0
Employed,Married,,India,F,0.020477815699658702,Extended,,
,Single,Dubai,,,0.020477815699658702,Extended,College,0
,,Dubai,India,F,0.020477815699658702,Extended,College,
Employed,Single,Dubai,,F,0.020477815699658702,,College,
,Married,Dubai,Philipines,,0.020477815699658702,Extended,High School or Below,
,Married,,India,F,0.020477815699658702,Basic,,0
Employed,,,Pakistan,F,0.020477815699658702,Extended,College,
,Single,,,F,0.020477815699658702,Extended,College,0
Self-Employed,Single,,Other,,0.020477815699658702,Basic,,0
Self-Employed,Single,,China,F,0.020477815699658702,Basic,,
Self-Employed,Single,,Other,F,0.020477815699658702,,,0
Employed,,,Philipines,F,0.020477815699658702,Basic,College,
Self-Employed,Single,,Other,F,0.020477815699658702,Basic,,
,Married,Dubai,India,,0.020477815699658702,Extended,,0
,Married,,China,F,0.020477815699658702,Basic,High School or Below,
Employed,,Dubai,India,,0.020477815699658702,Extended,Bachelor,
Employed,Married,Dubai,India,,0.020477815699658702,Extended,,
,Single,Dubai,Other,,0.017064846416382253,Basic,,0
,Single,,India,F,0.017064846416382253,Extended,High School or Below,
Employed,Divorced,,Philipines,F,0.017064846416382253,Basic,,
,Single,Dubai,Other,F,0.017064846416382253,,,0
Employed,Single,Dubai,UAE,F,0.017064846416382253,,,
Employed,Single,,UAE,F,0.017064846416382253,Premium,,
Self-Employed,Single,,India,,0.017064846416382253,Extended,High School or Below,
Self-Employed,,Dubai,Philipines,,0.017064846416382253,Extended,,0
,,Dubai,UAE,F,0.017064846416382253,Premium,College,
Employed,Single,Dubai,UAE,,0.017064846416382253,Premium,,
,Single,,India,,0.017064846416382253,Extended,High School or Below,0
Self-Employed,,Dubai,India,,0.017064846416382253,Basic,High School or Below,
Employed,Divorced,Dubai,Philipines,,0.017064846416382253,Basic,,
Self-Employed,Divorced,,,F,0.017064846416382253,Basic,,0
Self-Employed,,,Philipines,F,0.017064846416382253,Extended,,0
Employed,,Dubai,China,F,0.017064846416382253,Basic,,
,Single,Dubai,India,F,0.017064846416382253,,College,
,,Dubai,Other,F,0.017064846416382253,Basic,High School or Below,
,Divorced,Dubai,,F,0.017064846416382253,Basic,High School or Below,
,Divorced,Dubai,UAE,F,0.017064846416382253,Premium,,
,Divorced,Dubai,India,F,0.017064846416382253,,Bachelor,
Self-Employed,Single,Dubai,Philipines,,0.017064846416382253,,,0
,Single,Dubai,Philipines,F,0.017064846416382253,,,0
,Single,Dubai,India,,0.017064846416382253,Basic,Bachelor,
,Single,Dubai,India,,0.017064846416382253,,Bachelor,0
Self-Employed,Single,Dubai,Other,,0.017064846416382253,Basic,,
,Single,Dubai,China,,0.017064846416382253,,Bachelor,0
,,Dubai,India,,0.017064846416382253,Extended,Bachelor,0
Employed,,,Pakistan,F,0.017064846416382253,Basic,College,
Self-Employed,Single,Dubai,Philipines,F,0.017064846416382253,,,
,,Dubai,Philipines,F,0.017064846416382253,Extended,Bachelor,
,Single,Dubai,Pakistan,,0.017064846416382253,Extended,Bachelor,
Self-Employed,,Dubai,Philipines,F,0.017064846416382253,Extended,,
,Divorced,,,F,0.017064846416382253,Basic,College,0
,,Dubai,Philipines,F,0.017064846416382253,Basic,Bachelor,
,,Dubai,China,F,0.017064846416382253,Basic,Bachelor,
Employed,,Dubai,Pakistan,,0.017064846416382253,Basic,College,
Self-Employed,,,Pakistan,F,0.017064846416382253,,Master,0
Employed,Divorced,Dubai,,,0.017064846416382253,Basic,Bachelor,
,Single,,India,F,0.017064846416382253,,Bachelor,0
,Single,,India,F,0.017064846416382253,Basic,Bachelor,
,Single,,China,F,0.017064846416382253,,Bachelor,0
,Single,Dubai,Philipines,F,0.017064846416382253,,College,
,Single,,Pakistan,F,0.017064846416382253,Extended,Bachelor,
Employed,Divorced,,,F,0.017064846416382253,Basic,Bachelor,
Employed,Single,Dubai,,F,0.017064846416382253,Premium,,
Self-Employed,Single,Dubai,Other,F,0.017064846416382253,,,
,,Dubai,Pakistan,F,0.017064846416382253,Basic,Master,
,,Dubai,India,,0.017064846416382253,Basic,High School or Below,0
,,Dubai,Philipines,F,0.017064846416382253,,College,0
,Single,Dubai,India,,0.017064846416382253,Extended,High School or Below,
,,Dubai,Philipines,F,0.017064846416382253,Extended,,0
Self-Employed,Single,,Philipines,F,0.017064846416382253,,,0
Self-Employed,Single,Dubai,Other,,0.017064846416382253,,,0
Self-Employed,Single,,India,F,0.017064846416382253,,Bachelor,
Government,Married,,,F,0.017064846416382253,Basic,High School or Below,
Employed,Married,Dubai,China,,0.017064846416382253,,High School or Below,
Employed,Married,,India,F,0.017064846416382253,,High School or Below,
,Married,Dubai,,F,0.017064846416382253,Basic,Master,
Self-Employed,Married,,India,,0.017064846416382253,,Bachelor,0
Self-Employed,Single,,India,,0.017064846416382253,,Bachelor,0
Employed,Married,Dubai,Philipines,,0.017064846416382253,,Bachelor,
Self-Employed,Married,,,F,0.017064846416382253,,Master,0
Self-Employed,Married,,India,F,0.017064846416382253,,High School or Below,
Self-Employed,Single,Dubai,China,,0.017064846416382253,,Bachelor,
,Married,Dubai,Other,F,0.017064846416382253,,Bachelor,
Retired,,Dubai,India,F,0.017064846416382253,Basic,,
,Married,,India,F,0.017064846416382253,,High School or Below,0
Self-Employed,Divorced,,,,0.017064846416382253,Basic,College,0
Government,Married,Dubai,,F,0.017064846416382253,,High School or Below,
Self-Employed,Single,Dubai,India,,0.017064846416382253,,Bachelor,
Self-Employed,,Dubai,India,,0.017064846416382253,Extended,Bachelor,
,Married,,India,,0.017064846416382253,Extended,Bachelor,0
,Married,,India,F,0.017064846416382253,,Bachelor,0
Self-Employed,Divorced,,,F,0.017064846416382253,Basic,College,
Government,Married,Dubai,,,0.017064846416382253,Basic,High School or Below,
Employed,Married,,India,,0.017064846416382253,Basic,Bachelor,
Employed,Married,,Pakistan,,0.017064846416382253,Extended,Bachelor,
Employed,Married,,Philipines,F,0.017064846416382253,,Bachelor,
Self-Employed,,Dubai,Philipines,,0.017064846416382253,,College,0
Self-Employed,Married,,India,,0.017064846416382253,,High School or Below,0
Self-Employed,Married,,India,,0.017064846416382253,Extended,Bachelor,
Self-Employed,,,Philipines,F,0.017064846416382253,,College,0
Employed,Married,Dubai,India,,0.017064846416382253,,High School or Below,
Self-Employed,Married,Dubai,,,0.017064846416382253,Basic,College,
,Married,,,F,0.017064846416382253,Basic,High School or Below,0
Enterpreneur,Married,Dubai,,F,0.017064846416382253,Extended,,
,Married,Dubai,Philipines,F,0.017064846416382253,,College,
Self-Employed,Single,,China,F,0.017064846416382253,,Bachelor,
Self-Employed,Married,,,F,0.017064846416382253,Basic,High School or Below,
,Married,Dubai,India,,0.017064846416382253,Basic,High School or Below,
Self-Employed,,Dubai,Philipines,F,0.017064846416382253,,College,
Self-Employed,Married,,,,0.017064846416382253,Basic,High School or Below,0
,Married,Dubai,,,0.017064846416382253,Basic,College,0
Employed,Married,,China,F,0.017064846416382253,,High School or Below,
Self-Employed,Married,,India,F,0.017064846416382253,,Bachelor,
Self-Employed,Single,,China,,0.017064846416382253,,Bachelor,0
Self-Employed,Married,Sharjah,,F,0.017064846416382253,,,0
Self-Employed,Married,,Pakistan,F,0.013651877133105802,Extended,,
,,Dubai,Pakistan,,0.013651877133105802,Basic,College,0
,Divorced,Dubai,,,0.013651877133105802,Basic,College,0
,,Dubai,Philipines,F,0.013651877133105802,,High School or Below,0
,Single,Dubai,Pakistan,,0.013651877133105802,,College,0
,Married,Dubai,Pakistan,,0.013651877133105802,Basic,High School or Below,
,,Dubai,Other,F,0.013651877133105802,Basic,College,
Enterpreneur,Married,Dubai,Pakistan,F,0.013651877133105802,,,
Self-Employed,Married,,Philipines,,0.013651877133105802,Basic,,0
,,Dubai,China,F,0.013651877133105802,Basic,College,
Self-Employed,Married,,Pakistan,,0.013651877133105802,Extended,,0
Employed,Married,Dubai,China,,0.013651877133105802,Basic,,
Self-Employed,Married,,,,0.013651877133105802,Extended,High School or Below,0
,Single,Dubai,Philipines,,0.013651877133105802,Basic,College,
Enterpreneur,Married,Dubai,,F,0.013651877133105802,,High School or Below,
,Married,Dubai,,F,0.013651877133105802,Premium,,0
,,Dubai,Pakistan,,0.013651877133105802,Extended,College,0
,Divorced,Dubai,,F,0.013651877133105802,Basic,,0
,,Dubai,Philipines,,0.013651877133105802,Basic,College,0
Employed,,Dubai,UAE,,0.013651877133105802,Premium,College,
Employed,,,UAE,F,0.013651877133105802,Premium,College,
Employed,,Dubai,UAE,F,0.013651877133105802,,College,
,,Dubai,UAE,,0.013651877133105802,Premium,Bachelor,0
Employed,Married,,Philipines,,0.013651877133105802,Basic,High School or Below,
,Single,Dubai,UAE,,0.013651877133105802,Premium,Bachelor,
,,,UAE,F,0.013651877133105802,Premium,Bachelor,0
,Single,,UAE,F,0.013651877133105802,Premium,Bachelor,
,,Dubai,UAE,F,0.013651877133105802,,Bachelor,0
,Married,,Philipines,F,0.013651877133105802,Basic,,0
,Single,Dubai,UAE,F,0.013651877133105802,,Bachelor,
Self-Employed,Married,Dubai,,,0.013651877133105802,Extended,High School or Below,
,Single,Dubai,UAE,,0.013651877133105802,Premium,,0
,Married,,,F,0.013651877133105802,Extended,High School or Below,0
,Married,,Pakistan,F,0.013651877133105802,Extended,,0
,Single,,UAE,F,0.013651877133105802,Premium,,0
Self-Employed,Married,,,,0.013651877133105802,Extended,Master,0
,Married,Dubai,UAE,F,0.013651877133105802,,,0
,Divorced,Dubai,Pakistan,F,0.013651877133105802,Extended,,
,Single,Dubai,UAE,F,0.013651877133105802,,,0
,Single,Dubai,China,F,0.013651877133105802,Extended,,
Employed,,Dubai,,F,0.013651877133105802,Premium,College,
,Married,,India,F,0.013651877133105802,Extended,High School or Below,
,,Dubai,India,,0.013651877133105802,Basic,College,0
Self-Employed,Married,,,F,0.013651877133105802,Extended,Master,
,Divorced,Dubai,,F,0.013651877133105802,Extended,,0
,Married,,,F,0.013651877133105802,Extended,Master,0
Self-Employed,Married,Abu Dhabi,,F,0.013651877133105802,,,0
,Single,Dubai,Philipines,,0.013651877133105802,,College,0
,Single,Dubai,Pakistan,,0.013651877133105802,Basic,College,
Government,Married,Dubai,India,F,0.013651877133105802,,,
Employed,Divorced,Dubai,,F,0.013651877133105802,,College,
Employed,,Dubai,India,F,0.013651877133105802,,Master,
,Married,Dubai,UAE,,0.013651877133105802,Premium,,0
,Single,Dubai,,F,0.013651877133105802,Premium,,0
Employed,,Dubai,Other,,0.013651877133105802,Basic,Bachelor,
Employed,,Dubai,,F,0.013651877133105802,Extended,Doctor,
Employed,,Dubai,China,F,0.013651877133105802,,Bachelor,
Employed,,Dubai,Philipines,,0.013651877133105802,Basic,Bachelor,
,,Dubai,,F,0.013651877133105802,Extended,Master,0
Employed,Married,Dubai,Other,,0.013651877133105802,,Bachelor,
,Divorced,Dubai,Philipines,F,0.013651877133105802,,Bachelor,
,Married,Dubai,,,0.013651877133105802,Extended,Bachelor,0
,Married,Dubai,Philipines,,0.013651877133105802,Extended,Bachelor,
,Married,Dubai,China,F,0.013651877133105802,,Bachelor,
Employed,,Dubai,,F,0.013651877133105802,Extended,Master,
,Single,Dubai,,F,0.013651877133105802,Extended,Master,
,Married,,Philipines,F,0.013651877133105802,Basic,College,
Employed,Married,,Philipines,F,0.013651877133105802,,College,
Employed,,Dubai,Pakistan,,0.013651877133105802,Basic,Bachelor,
,Single,,Pakistan,F,0.013651877133105802,Basic,Bachelor,
Employed,,,Pakistan,F,0.013651877133105802,Basic,Bachelor,
,Married,,India,F,0.013651877133105802,,College,0
,Single,,Other,F,0.013651877133105802,Basic,Bachelor,
Enterpreneur,Married,Dubai,,F,0.013651877133105802,,College,
Employed,,,Other,F,0.013651877133105802,Basic,Bachelor,
Employed,,,Philipines,F,0.013651877133105802,Basic,Bachelor,
,,,India,F,0.013651877133105802,Basic,Bachelor,0
,Single,,India,,0.013651877133105802,Basic,Bachelor,0
,Married,Dubai,Philipines,,0.013651877133105802,Basic,College,
Employed,Married,Dubai,Philipines,,0.013651877133105802,,College,
,Married,,UAE,F,0.013651877133105802,Premium,,0
,,,Pakistan,F,0.013651877133105802,Extended,Bachelor,0
,,,Pakistan,F,0.013651877133105802,Basic,Bachelor,0
Employed,Divorced,Dubai,,F,0.013651877133105802,,Master,
Employed,,Dubai,Philipines,,0.013651877133105802,Extended,Bachelor,
Self-Employed,Married,,,F,0.013651877133105802,Extended,High School or Below,
Employed,Single,Dubai,Philipines,F,0.013651877133105802,,,
,Married,Dubai,India,,0.013651877133105802,Extended,High School or Below,
,,,Pakistan,F,0.013651877133105802,Basic,College,0
,Single,,Pakistan,F,0.013651877133105802,,College,0
,,,Other,F,0.013651877133105802,Basic,College,0
,,,Philipines,F,0.013651877133105802,Basic,College,0
,Single,,Philipines,F,0.013651877133105802,,College,0
,,,Pakistan,F,0.013651877133105802,Extended,College,0
Enterpreneur,Married,Dubai,,F,0.013651877133105802,,Bachelor,
Self-Employed,Married,,Philipines,F,0.013651877133105802,Basic,,
Employed,Single,Dubai,India,,0.013651877133105802,Basic,,
Employed,Single,Dubai,,,0.013651877133105802,Basic,College,
Enterpreneur,,Dubai,,F,0.013651877133105802,Basic,College,
,,Dubai,China,F,0.013651877133105802,Extended,,0
,Married,Dubai,,,0.013651877133105802,Extended,High School or Below,0
,Single,,Philipines,F,0.013651877133105802,Basic,College,
Employed,Divorced,Dubai,India,,0.013651877133105802,Basic,,
,Single,,Pakistan,F,0.013651877133105802,Basic,College,
Employed,Single,,,F,0.013651877133105802,Basic,College,
,,Dubai,,F,0.013651877133105802,Premium,Bachelor,0
,Single,Dubai,,F,0.013651877133105802,Premium,Bachelor,
Government,,Dubai,India,F,0.013651877133105802,Basic,,
,Married,Dubai,Pakistan,F,0.013651877133105802,,Master,
,Married,Dubai,,F,0.013651877133105802,Extended,Master,
,,Dubai,India,,0.013651877133105802,Basic,Bachelor,0
Self-Employed,Single,Dubai,,F,0.013651877133105802,Premium,,
Employed,Married,,Pakistan,,0.013651877133105802,Basic,Bachelor,
Employed,Married,,Other,F,0.013651877133105802,,Bachelor,
Employed,Divorced,Dubai,India,,0.013651877133105802,Extended,,
,Married,,Philipines,F,0.013651877133105802,Extended,Bachelor,
,,Dubai,Pakistan,,0.013651877133105802,Basic,Bachelor,0
Employed,,Dubai,,F,0.013651877133105802,Basic,Master,
,Single,Dubai,Philipines,F,0.013651877133105802,,High School or Below,
Employed,,,Philipines,F,0.013651877133105802,Extended,Bachelor,
Self-Employed,,,Philipines,,0.013651877133105802,Basic,College,0
Self-Employed,Married,,India,F,0.013651877133105802,,College,
Self-Employed,Married,Dubai,UAE,,0.013651877133105802,,,0
Self-Employed,Divorced,Dubai,,,0.013651877133105802,Basic,College,
Self-Employed,,Dubai,Pakistan,,0.013651877133105802,Basic,College,
Self-Employed,,Sharjah,India,F,0.013651877133105802,,,0
Self-Employed,Married,Dubai,UAE,F,0.013651877133105802,,,
,,,Pakistan,F,0.013651877133105802,Extended,Master,0
Self-Employed,Single,Dubai,Pakistan,,0.013651877133105802,,College,
Self-Employed,Married,,UAE,F,0.013651877133105802,,,0
Self-Employed,,Dubai,Philipines,,0.013651877133105802,Basic,College,
Self-Employed,Single,Dubai,Philipines,,0.013651877133105802,,College,
Self-Employed,,Dubai,Pakistan,,0.013651877133105802,Extended,College,
Self-Employed,Married,,India,,0.013651877133105802,,College,0
Self-Employed,,Dubai,Pakistan,,0.013651877133105802,Basic,Bachelor,
Self-Employed,,,Pakistan,F,0.013651877133105802,Extended,Master,
Self-Employed,Single,,India,,0.013651877133105802,Basic,High School or Below,
Self-Employed,,Dubai,India,,0.013651877133105802,Basic,College,
Self-Employed,,,India,,0.013651877133105802,Basic,Bachelor,0
Self-Employed,,Dubai,Philipines,,0.013651877133105802,,High School or Below,0
Self-Employed,Divorced,Dubai,,F,0.013651877133105802,Extended,,
Self-Employed,,,India,F,0.013651877133105802,Basic,Bachelor,
Self-Employed,,,China,F,0.013651877133105802,Extended,,0
Self-Employed,Single,,India,,0.013651877133105802,Basic,Bachelor,
Self-Employed,Divorced,,,F,0.013651877133105802,Extended,,0
Self-Employed,Single,,UAE,F,0.013651877133105802,,,0
Self-Employed,Single,Dubai,UAE,F,0.013651877133105802,,,
Self-Employed,,,Philipines,F,0.013651877133105802,,High School or Below,0
Self-Employed,,Abu Dhabi,,F,0.013651877133105802,Basic,,0
Self-Employed,Married,,UAE,F,0.013651877133105802,Premium,,
Self-Employed,Single,Dubai,UAE,,0.013651877133105802,,,0
Self-Employed,,,Pakistan,F,0.013651877133105802,Basic,College,
Self-Employed,Single,,Pakistan,F,0.013651877133105802,,College,
Self-Employed,,,Philipines,F,0.013651877133105802,Basic,College,
Self-Employed,,Dubai,Philipines,F,0.013651877133105802,,High School or Below,
Self-Employed,Single,,Philipines,F,0.013651877133105802,,College,
Employed,Divorced,,India,F,0.013651877133105802,Basic,,
Self-Employed,,,Pakistan,F,0.013651877133105802,Extended,College,
Self-Employed,,Dubai,China,F,0.013651877133105802,Extended,,
Self-Employed,,,Pakistan,,0.013651877133105802,Basic,College,0
Self-Employed,Single,,Pakistan,,0.013651877133105802,,College,0
Self-Employed,,,Other,,0.013651877133105802,Basic,College,0
Employed,Single,,India,F,0.013651877133105802,Basic,,
Employed,Divorced,,India,F,0.013651877133105802,Extended,,
Self-Employed,,Dubai,,,0.013651877133105802,Premium,Bachelor,0
Self-Employed,Single,,,F,0.013651877133105802,,Master,0
Self-Employed,,Dubai,,F,0.013651877133105802,Premium,Bachelor,
Self-Employed,,,Other,F,0.013651877133105802,,College,0
,Single,,India,,0.013651877133105802,Basic,High School or Below,0
Self-Employed,,,,F,0.013651877133105802,Premium,Bachelor,0
Self-Employed,Divorced,Dubai,,,0.013651877133105802,Basic,,0
Self-Employed,,Dubai,India,,0.013651877133105802,Basic,Bachelor,
Self-Employed,Divorced,Dubai,,F,0.013651877133105802,Basic,,
Self-Employed,Single,,Philipines,,0.013651877133105802,,College,0
Self-Employed,,,Pakistan,,0.013651877133105802,Extended,College,0
Self-Employed,Married,Dubai,UAE,,0.013651877133105802,Premium,,
Self-Employed,,,Pakistan,,0.013651877133105802,Extended,Master,0
Self-Employed,Married,,UAE,,0.013651877133105802,Premium,,0
Self-Employed,Divorced,Dubai,,,0.013651877133105802,Extended,,0
Self-Employed,,,Other,F,0.013651877133105802,Basic,College,
Self-Employed,,,Pakistan,F,0.013651877133105802,Extended,Bachelor,
Self-Employed,,Dubai,UAE,F,0.013651877133105802,,Bachelor,
Self-Employed,Married,Dubai,,,0.013651877133105802,Premium,,0
Self-Employed,,,UAE,F,0.013651877133105802,Premium,Bachelor,
Self-Employed,Single,,,F,0.013651877133105802,Premium,,0
Self-Employed,Married,Dubai,,F,0.013651877133105802,Premium,,
Self-Employed,,,UAE,,0.013651877133105802,Premium,Bachelor,0
Self-Employed,,,UAE,F,0.013651877133105802,,Bachelor,0
Self-Employed,,Dubai,,,0.013651877133105802,Extended,Master,0
,Divorced,Dubai,Pakistan,F,0.013651877133105802,Basic,,
Self-Employed,,Dubai,UAE,,0.013651877133105802,Premium,Bachelor,
,Married,,Pakistan,F,0.013651877133105802,Basic,High School or Below,
Self-Employed,,,Pakistan,,0.013651877133105802,Basic,Bachelor,0
Self-Employed,Married,,,F,0.013651877133105802,Premium,,0
Self-Employed,Married,Dubai,,,0.013651877133105802,Extended,Bachelor,
Self-Employed,Single,Dubai,,,0.013651877133105802,Premium,,0
Employed,Married,,China,F,0.013651877133105802,Basic,,
Employed,,Dubai,China,,0.013651877133105802,Basic,High School or Below,
Self-Employed,Single,Dubai,UAE,,0.013651877133105802,Premium,,
Employed,,,China,F,0.013651877133105802,Basic,High School or Below,
Enterpreneur,,Dubai,Pakistan,F,0.013651877133105802,Basic,,
Self-Employed,Single,,UAE,F,0.013651877133105802,Premium,,
,Divorced,Dubai,Other,F,0.013651877133105802,Basic,,
Self-Employed,,,Pakistan,,0.013651877133105802,Extended,Bachelor,0
Self-Employed,,,Pakistan,F,0.013651877133105802,Basic,Bachelor,
Self-Employed,Single,,UAE,,0.013651877133105802,Premium,,0
Self-Employed,,Dubai,,F,0.013651877133105802,Extended,Master,
Self-Employed,,Dubai,China,,0.013651877133105802,Extended,,0
Employed,Single,Dubai,Pakistan,F,0.013651877133105802,,,
Self-Employed,,Dubai,UAE,,0.013651877133105802,,Bachelor,0
,Married,Dubai,UAE,,0.010238907849829351,Premium,High School or Below,
Employed,Single,,,F,0.010238907849829351,Extended,Bachelor,
,Married,,UAE,F,0.010238907849829351,Premium,High School or Below,
Employed,Divorced,,Other,F,0.010238907849829351,Basic,,
,Single,Dubai,,F,0.010238907849829351,Premium,High School or Below,
,Married,,UAE,,0.010238907849829351,Premium,Bachelor,0
Employed,Married,Dubai,,F,0.010238907849829351,,,35482
Employed,Married,Dubai,,,0.010238907849829351,Extended,,35482
Self-Employed,Married,,UAE,,0.010238907849829351,Premium,Bachelor,
Employed,Single,,Pakistan,F,0.010238907849829351,Basic,,
Employed,,,China,F,0.010238907849829351,Extended,Bachelor,
,Married,Dubai,Pakistan,F,0.010238907849829351,,,35482
Employed,Married,Dubai,Pakistan,,0.010238907849829351,,,35482
,Single,,China,F,0.010238907849829351,Extended,Bachelor,
Employed,,,Other,F,0.010238907849829351,Extended,Bachelor,
,Married,,UAE,F,0.010238907849829351,Premium,College,
,Married,,Pakistan,F,0.010238907849829351,Extended,,35482
Employed,Married,,Pakistan,,0.010238907849829351,Extended,,35482
,Divorced,,Pakistan,F,0.010238907849829351,Extended,Bachelor,
Employed,Divorced,,Pakistan,,0.010238907849829351,Extended,Bachelor,
,Single,,China,F,0.010238907849829351,Basic,High School or Below,
Employed,Married,,,F,0.010238907849829351,Extended,,35482
Employed,Married,,Pakistan,F,0.010238907849829351,,,35482
Employed,Single,,India,,0.010238907849829351,Basic,High School or Below,
,Single,,Philipines,F,0.010238907849829351,Basic,High School or Below,
Employed,Divorced,,Philipines,F,0.010238907849829351,,Bachelor,
,Single,,Pakistan,F,0.010238907849829351,,High School or Below,0
Employed,,Dubai,,F,0.010238907849829351,Premium,High School or Below,
,,Dubai,India,F,0.010238907849829351,Extended,Master,
Employed,Divorced,Dubai,,F,0.010238907849829351,Premium,,
,Divorced,Dubai,India,F,0.010238907849829351,,Master,
Retired,,Dubai,India,F,0.010238907849829351,,College,
Employed,Divorced,Dubai,India,,0.010238907849829351,,Master,
,,Dubai,,F,0.010238907849829351,Premium,High School or Below,0
Employed,Divorced,,Philipines,F,0.010238907849829351,Extended,,
,Single,Dubai,,F,0.010238907849829351,,Master,0
Employed,,,Philipines,F,0.010238907849829351,Extended,High School or Below,
Employed,,,China,F,0.010238907849829351,Extended,High School or Below,
Employed,Divorced,,Pakistan,F,0.010238907849829351,Extended,,
Retired,,Dubai,,F,0.010238907849829351,Basic,College,
,,Dubai,Pakistan,F,0.010238907849829351,Extended,Master,
Retired,,Dubai,India,F,0.010238907849829351,,Bachelor,
Employed,Single,,Philipines,F,0.010238907849829351,Basic,,
Retired,Single,Dubai,,F,0.010238907849829351,,Bachelor,
Employed,Divorced,,Pakistan,F,0.010238907849829351,,Bachelor,
,Single,,Philipines,F,0.010238907849829351,Basic,,0
Retired,Divorced,Dubai,,F,0.010238907849829351,,High School or Below,
,Divorced,,Philipines,F,0.010238907849829351,Basic,High School or Below,
,Single,Dubai,Pakistan,F,0.010238907849829351,,Master,
Retired,Married,,India,F,0.010238907849829351,Basic,,
Retired,Married,Dubai,,F,0.010238907849829351,Basic,,
,Married,,UAE,F,0.010238907849829351,,Bachelor,0
,Married,Dubai,UAE,,0.010238907849829351,,Bachelor,0
,,,Philipines,F,0.010238907849829351,Extended,High School or Below,0
,Single,,China,F,0.010238907849829351,Basic,Bachelor,
,Divorced,Dubai,,F,0.010238907849829351,Basic,Master,
,Divorced,,Philipines,F,0.010238907849829351,Basic,Bachelor,
,,Dubai,India,F,0.010238907849829351,Basic,Master,
Self-Employed,Married,Dubai,India,,0.010238907849829351,Basic,,
,Married,Dubai,,F,0.010238907849829351,Extended,,35482
Employed,,Dubai,Philipines,,0.010238907849829351,Extended,High School or Below,
Self-Employed,Married,Dubai,,,0.010238907849829351,Basic,High School or Below,
Enterpreneur,,Dubai,Pakistan,F,0.010238907849829351,Extended,,
,,Dubai,Pakistan,F,0.010238907849829351,Extended,High School or Below,
Self-Employed,Married,,Pakistan,,0.010238907849829351,,Master,0
Employed,,Dubai,China,,0.010238907849829351,Extended,High School or Below,
Employed,Divorced,Dubai,Pakistan,F,0.010238907849829351,,,
,,Dubai,China,F,0.010238907849829351,Extended,High School or Below,
,Single,Dubai,Pakistan,F,0.010238907849829351,,High School or Below,
,Single,Dubai,Philipines,F,0.010238907849829351,Extended,,
Self-Employed,Married,Dubai,UAE,,0.010238907849829351,,Bachelor,
Self-Employed,Married,,Pakistan,,0.010238907849829351,Extended,Master,
Employed,Divorced,Dubai,Philipines,,0.010238907849829351,Extended,,
,Divorced,Dubai,Philipines,F,0.010238907849829351,Extended,,
Self-Employed,Married,,Pakistan,F,0.010238907849829351,,Master,
Self-Employed,Married,Dubai,India,,0.010238907849829351,,Bachelor,
Self-Employed,Married,,,F,0.010238907849829351,Premium,Bachelor,
Self-Employed,Married,Sharjah,India,,0.010238907849829351,,,0
Employed,Single,Dubai,Pakistan,,0.010238907849829351,Basic,,
Self-Employed,Married,Dubai,Pakistan,F,0.010238907849829351,,,
Self-Employed,Married,Dubai,Other,F,0.010238907849829351,,,
Self-Employed,Married,Dubai,Philipines,,0.010238907849829351,Basic,,
Self-Employed,Married,,,,0.010238907849829351,Basic,Bachelor,0
Self-Employed,Married,Dubai,,F,0.010238907849829351,,Master,
Self-Employed,Married,Dubai,,,0.010238907849829351,,Master,0
,Single,Dubai,Philipines,,0.010238907849829351,Basic,High School or Below,
Employed,Single,Dubai,Philipines,,0.010238907849829351,Basic,,
,Single,Dubai,China,F,0.010238907849829351,,High School or Below,
Self-Employed,Married,Dubai,Other,,0.010238907849829351,,,0
Employed,Single,Dubai,China,F,0.010238907849829351,,,
Enterpreneur,,Dubai,China,F,0.010238907849829351,Basic,,
Self-Employed,Married,Dubai,Pakistan,,0.010238907849829351,,,0
Self-Employed,Married,,,F,0.010238907849829351,Basic,Bachelor,
,Divorced,Dubai,Philipines,,0.010238907849829351,Basic,High School or Below,
