Country,Emirate,Education,Occupation,Gender,Marital Status,Coverage,Income,cluster
Philipines,Abu Dhabi,High School or Below,Employed,F,Married,Extended,45944,1
India,Abu Dhabi,College,Employed,F,Married,Basic,59649,1
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,52785,1
Pakistan,Dubai,High School or Below,Employed,F,Married,Basic,59648,0
Pakistan,Sharjah,College,Employed,F,Married,Extended,93272,1
Philipines,Dubai,Bachelor,Employed,M,Married,Basic,22134,1
Other,Dubai,College,Employed,F,Married,Basic,69050,0
Philipines,Sharjah,Master,Employed,M,Married,Basic,87798,1
India,Dubai,Bachelor,Self-Employed,M,Divorced,Basic,0,2
India,Dubai,Master,Employed,F,Married,Basic,43811,0
India,Dubai,College,Self-Employed,F,Single,Extended,0,0
China,Dubai,Bachelor,Employed,F,Divorced,Extended,92456,0
UAE,Dubai,High School or Below,Employed,F,Single,Premium,59207,0
India,Dubai,High School or Below,Employed,F,Married,Basic,64519,0
Pakistan,Dubai,High School or Below,Government,F,Married,Basic,11432,0
China,Abu Dhabi,College,Self-Employed,F,Married,Extended,0,0
India,Dubai,High School or Below,Employed,M,Single,Basic,32607,2
Philipines,Dubai,High School or Below,Government,F,Married,Basic,26444,0
Pakistan,Dubai,High School or Below,Employed,F,Married,Basic,39381,0
China,Dubai,College,Self-Employed,M,Single,Extended,0,2
Pakistan,Dubai,High School or Below,Employed,M,Married,Basic,90217,1
Pakistan,Dubai,High School or Below,Government,M,Married,Basic,24248,2
UAE,Abu Dhabi,Bachelor,Employed,M,Married,Premium,99368,1
Philipines,Sharjah,High School or Below,Employed,F,Married,Extended,68189,1
China,Sharjah,Master,Employed,F,Married,Extended,32370,1
Philipines,Abu Dhabi,Master,Employed,F,Single,Basic,34990,1
India,Dubai,High School or Below,Employed,F,Married,Basic,25714,0
Pakistan,Sharjah,College,Employed,M,Single,Extended,61091,1
UAE,Abu Dhabi,College,Employed,M,Married,Premium,88184,1
India,Sharjah,College,Employed,F,Married,Basic,60252,1
Pakistan,Abu Dhabi,College,Employed,M,Married,Basic,80985,1
Other,Dubai,Bachelor,Employed,M,Single,Basic,36088,2
India,Dubai,High School or Below,Employed,M,Married,Basic,99845,1
Other,Dubai,High School or Below,Employed,F,Single,Basic,29822,0
Pakistan,Abu Dhabi,College,Employed,F,Single,Basic,40803,1
Pakistan,Abu Dhabi,College,Employed,F,Married,Extended,71134,1
Philipines,Dubai,Bachelor,Employed,M,Single,Basic,36088,2
China,Abu Dhabi,College,Employed,M,Married,Basic,29431,1
Other,Dubai,High School or Below,Employed,M,Married,Basic,68073,1
Pakistan,Dubai,College,Enterpreneur,M,Single,Basic,17937,2
Philipines,Dubai,Bachelor,Retired,F,Divorced,Extended,23376,0
India,Dubai,Doctor,Government,F,Divorced,Basic,21986,0
Philipines,Dubai,Bachelor,Employed,F,Married,Extended,23032,0
Pakistan,Sharjah,College,Employed,F,Married,Basic,32114,1
India,Dubai,Bachelor,Government,M,Single,Basic,13330,2
India,Dubai,College,Employed,F,Married,Basic,44934,0
Pakistan,Abu Dhabi,College,Employed,F,Married,Basic,96137,1
Pakistan,Abu Dhabi,College,Employed,F,Married,Basic,40864,1
India,Abu Dhabi,College,Employed,F,Single,Basic,22668,1
Pakistan,Sharjah,College,Employed,M,Married,Extended,90751,1
Pakistan,Sharjah,College,Employed,M,Married,Basic,44186,1
Pakistan,Abu Dhabi,College,Employed,M,Divorced,Basic,92678,1
Philipines,Sharjah,Bachelor,Employed,F,Married,Extended,74257,1
India,Sharjah,Bachelor,Employed,M,Married,Basic,99981,1
Philipines,Dubai,College,Self-Employed,M,Single,Extended,0,2
Philipines,Abu Dhabi,College,Enterpreneur,F,Divorced,Basic,19591,0
India,Dubai,College,Employed,F,Married,Extended,29095,0
Pakistan,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
UAE,Abu Dhabi,Master,Employed,M,Married,Premium,60880,1
Philipines,Sharjah,Bachelor,Employed,F,Married,Basic,61785,1
Pakistan,Dubai,Bachelor,Employed,M,Single,Basic,44428,2
India,Abu Dhabi,High School or Below,Employed,M,Married,Basic,95697,1
India,Sharjah,Bachelor,Enterpreneur,F,Married,Basic,18064,1
India,Sharjah,High School or Below,Employed,M,Divorced,Basic,74720,1
India,Dubai,Bachelor,Government,F,Married,Basic,22594,0
Philipines,Sharjah,Bachelor,Employed,F,Divorced,Basic,40987,1
China,Dubai,High School or Below,Government,M,Married,Extended,24561,2
India,Abu Dhabi,College,Employed,F,Single,Extended,76456,1
India,Dubai,College,Employed,M,Divorced,Basic,65828,2
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,Bachelor,Employed,F,Married,Basic,63621,0
Philipines,Abu Dhabi,College,Enterpreneur,M,Married,Basic,10074,1
Pakistan,Abu Dhabi,College,Employed,F,Married,Basic,78965,1
China,Dubai,College,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,Bachelor,Government,M,Married,Basic,23604,2
Pakistan,Sharjah,College,Employed,F,Married,Basic,99205,1
Philipines,Dubai,College,Self-Employed,M,Married,Extended,0,2
India,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
China,Dubai,College,Employed,F,Married,Basic,55350,0
Pakistan,Sharjah,College,Government,M,Married,Basic,21052,1
Pakistan,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,High School or Below,Enterpreneur,M,Married,Basic,24664,2
China,Abu Dhabi,College,Employed,M,Single,Extended,45225,1
India,Dubai,College,Employed,M,Single,Extended,30430,2
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,35149,1
India,Dubai,Bachelor,Enterpreneur,M,Divorced,Basic,16513,2
China,Dubai,High School or Below,Government,M,Divorced,Basic,10892,2
Other,Dubai,High School or Below,Employed,F,Married,Extended,37995,0
Pakistan,Sharjah,College,Employed,M,Divorced,Basic,54704,1
Pakistan,Dubai,Doctor,Employed,M,Single,Basic,25381,2
Pakistan,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
Pakistan,Sharjah,Bachelor,Government,F,Married,Basic,18150,1
India,Dubai,Bachelor,Enterpreneur,M,Single,Basic,29735,2
China,Dubai,College,Employed,F,Divorced,Basic,77156,0
Pakistan,Sharjah,College,Employed,F,Divorced,Extended,88782,1
India,Abu Dhabi,College,Employed,F,Married,Extended,51489,1
India,Dubai,Bachelor,Retired,F,Divorced,Extended,16972,0
India,Abu Dhabi,Bachelor,Employed,M,Married,Extended,99359,1
Philipines,Dubai,College,Employed,M,Single,Basic,58289,2
UAE,Dubai,Doctor,Employed,F,Married,Premium,45173,0
India,Abu Dhabi,Bachelor,Employed,F,Married,Extended,93246,1
UAE,Dubai,High School or Below,Employed,M,Married,Premium,43758,1
Pakistan,Sharjah,Bachelor,Employed,M,Married,Extended,75651,1
Philipines,Dubai,Doctor,Self-Employed,F,Divorced,Basic,0,0
Pakistan,Sharjah,Doctor,Employed,F,Married,Basic,36938,1
India,Dubai,Bachelor,Employed,M,Single,Extended,50843,2
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,21907,1
India,Sharjah,Bachelor,Employed,F,Married,Basic,77846,1
Other,Dubai,High School or Below,Retired,M,Divorced,Basic,20228,2
Philipines,Dubai,High School or Below,Employed,F,Married,Extended,97030,0
Pakistan,Sharjah,High School or Below,Employed,M,Married,Basic,80864,1
UAE,Dubai,College,Employed,F,Single,Premium,48197,0
India,Dubai,Doctor,Employed,M,Married,Basic,70837,1
Philipines,Dubai,High School or Below,Employed,M,Married,Extended,85297,1
UAE,Abu Dhabi,Master,Employed,F,Married,Premium,70177,1
China,Dubai,College,Employed,M,Divorced,Extended,52499,2
Pakistan,Dubai,College,Employed,M,Married,Basic,63143,1
Pakistan,Dubai,Bachelor,Employed,M,Single,Basic,97361,2
China,Dubai,High School or Below,Employed,M,Single,Extended,50052,2
Philipines,Dubai,Bachelor,Government,F,Married,Basic,11612,0
Philipines,Sharjah,High School or Below,Employed,F,Married,Basic,78115,1
India,Sharjah,Master,Employed,F,Married,Basic,81947,1
Pakistan,Dubai,College,Employed,M,Married,Extended,44698,1
India,Sharjah,High School or Below,Employed,F,Married,Basic,26876,1
Pakistan,Sharjah,College,Employed,F,Married,Basic,69841,1
Pakistan,Abu Dhabi,High School or Below,Employed,F,Divorced,Basic,97768,1
Pakistan,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
Other,Abu Dhabi,College,Employed,M,Married,Extended,89057,1
Pakistan,Dubai,Bachelor,Employed,F,Married,Basic,50217,0
Other,Dubai,College,Self-Employed,M,Single,Basic,0,2
China,Dubai,College,Self-Employed,M,Single,Basic,0,2
Pakistan,Sharjah,Doctor,Employed,F,Married,Extended,38500,1
China,Sharjah,High School or Below,Employed,F,Married,Basic,62018,1
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
UAE,Sharjah,Master,Employed,M,Married,Premium,57394,1
India,Dubai,Bachelor,Employed,M,Divorced,Basic,23530,2
India,Dubai,High School or Below,Employed,F,Divorced,Extended,48887,0
Pakistan,Dubai,Master,Employed,F,Married,Extended,68867,0
India,Dubai,College,Government,F,Single,Basic,12062,0
Philipines,Abu Dhabi,College,Employed,M,Married,Basic,59230,1
Philipines,Abu Dhabi,Bachelor,Employed,F,Divorced,Basic,59586,1
Other,Dubai,High School or Below,Employed,M,Married,Basic,57506,1
Philipines,Dubai,Bachelor,Employed,F,Married,Basic,25134,0
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,College,Self-Employed,F,Married,Basic,0,0
India,Dubai,College,Self-Employed,M,Married,Basic,0,2
India,Dubai,Bachelor,Employed,M,Married,Basic,44901,1
Philipines,Abu Dhabi,Bachelor,Self-Employed,F,Married,Extended,0,0
Pakistan,Sharjah,Bachelor,Employed,F,Married,Basic,28463,1
China,Dubai,Bachelor,Enterpreneur,F,Married,Extended,13037,0
India,Dubai,High School or Below,Employed,M,Married,Extended,82320,1
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Sharjah,College,Employed,F,Married,Basic,78460,1
China,Dubai,College,Self-Employed,M,Married,Extended,0,2
India,Dubai,College,Employed,M,Married,Basic,46922,1
India,Abu Dhabi,College,Employed,M,Single,Basic,60689,1
China,Dubai,Master,Self-Employed,F,Married,Basic,0,0
Pakistan,Abu Dhabi,College,Employed,F,Divorced,Extended,61108,1
Philipines,Sharjah,Bachelor,Employed,M,Divorced,Basic,98003,1
Other,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,High School or Below,Government,F,Married,Extended,22081,0
China,Sharjah,High School or Below,Employed,M,Married,Extended,83006,1
Philipines,Dubai,College,Employed,F,Divorced,Basic,38713,0
Pakistan,Dubai,College,Enterpreneur,F,Married,Basic,28700,0
India,Abu Dhabi,Master,Employed,F,Married,Basic,61552,1
China,Dubai,College,Employed,M,Divorced,Basic,56718,2
Pakistan,Abu Dhabi,Doctor,Employed,M,Single,Basic,66776,1
India,Sharjah,High School or Below,Employed,M,Married,Basic,58268,1
India,Dubai,College,Self-Employed,M,Single,Basic,0,2
India,Sharjah,Doctor,Enterpreneur,M,Married,Basic,12608,1
India,Sharjah,Master,Employed,M,Married,Basic,63499,1
Pakistan,Sharjah,High School or Below,Employed,M,Married,Extended,36247,1
India,Abu Dhabi,Master,Employed,F,Married,Basic,30228,1
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
UAE,Dubai,High School or Below,Self-Employed,F,Single,Premium,0,0
Philipines,Dubai,Bachelor,Employed,F,Married,Extended,99364,0
India,Dubai,Bachelor,Retired,M,Married,Basic,23665,2
Philipines,Dubai,College,Self-Employed,F,Single,Extended,0,0
Pakistan,Sharjah,High School or Below,Employed,M,Married,Basic,69247,1
Philipines,Abu Dhabi,College,Employed,F,Married,Extended,56047,1
Pakistan,Sharjah,College,Employed,M,Married,Basic,28919,1
Pakistan,Sharjah,Doctor,Self-Employed,F,Married,Basic,0,0
Pakistan,Sharjah,College,Self-Employed,F,Married,Extended,0,0
Philipines,Abu Dhabi,High School or Below,Employed,M,Married,Basic,69900,1
UAE,Dubai,High School or Below,Employed,M,Divorced,Premium,55687,2
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Extended,78294,1
Other,Abu Dhabi,Doctor,Employed,M,Married,Basic,46896,1
Philipines,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
UAE,Dubai,High School or Below,Self-Employed,F,Single,Premium,0,0
China,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
Pakistan,Dubai,College,Employed,F,Divorced,Extended,21385,0
India,Dubai,Master,Employed,M,Single,Extended,87128,2
China,Sharjah,College,Employed,F,Married,Basic,35434,1
India,Dubai,Master,Employed,F,Single,Basic,29462,0
UAE,Dubai,College,Employed,F,Single,Premium,53243,0
India,Dubai,High School or Below,Employed,M,Married,Extended,21006,1
India,Dubai,College,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,Bachelor,Employed,M,Single,Basic,36088,2
Pakistan,Abu Dhabi,College,Employed,F,Married,Extended,28948,1
UAE,Dubai,College,Enterpreneur,F,Divorced,Premium,24417,0
Pakistan,Abu Dhabi,High School or Below,Employed,M,Married,Basic,67099,1
Pakistan,Sharjah,Bachelor,Employed,F,Married,Extended,97830,1
UAE,Dubai,College,Self-Employed,M,Single,Premium,0,2
Philipines,Dubai,High School or Below,Employed,F,Married,Basic,93558,0
Philipines,Dubai,Doctor,Employed,F,Married,Extended,37384,0
Philipines,Dubai,Bachelor,Government,M,Married,Basic,28227,2
China,Dubai,High School or Below,Employed,M,Married,Basic,51008,1
India,Dubai,High School or Below,Employed,M,Single,Basic,78185,2
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
China,Dubai,College,Self-Employed,M,Divorced,Basic,0,2
Philipines,Abu Dhabi,Bachelor,Employed,F,Divorced,Basic,97205,1
Other,Sharjah,College,Self-Employed,F,Married,Basic,0,0
India,Sharjah,Bachelor,Employed,F,Married,Basic,26225,1
Pakistan,Dubai,College,Government,M,Single,Basic,20545,2
Pakistan,Dubai,Master,Self-Employed,F,Married,Extended,0,0
Philipines,Sharjah,College,Employed,F,Married,Basic,35503,1
Pakistan,Dubai,College,Employed,F,Married,Basic,58988,0
China,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
China,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
Pakistan,Dubai,College,Self-Employed,F,Divorced,Basic,0,0
China,Abu Dhabi,College,Employed,M,Single,Basic,67197,1
UAE,Dubai,High School or Below,Employed,M,Married,Premium,39032,1
Pakistan,Dubai,College,Self-Employed,F,Single,Basic,0,0
India,Sharjah,High School or Below,Employed,M,Married,Basic,34927,1
China,Abu Dhabi,Doctor,Employed,M,Divorced,Extended,30817,1
India,Abu Dhabi,Bachelor,Employed,F,Single,Basic,31535,1
India,Dubai,Bachelor,Retired,F,Divorced,Extended,23376,0
India,Sharjah,College,Employed,F,Divorced,Basic,46244,1
Philipines,Dubai,Bachelor,Employed,M,Married,Extended,34886,1
Philipines,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
UAE,Abu Dhabi,High School or Below,Employed,F,Married,Premium,62935,1
Pakistan,Dubai,Doctor,Employed,M,Divorced,Extended,24164,2
Other,Dubai,Bachelor,Self-Employed,F,Single,Extended,0,0
Pakistan,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,Bachelor,Employed,F,Single,Basic,40153,0
China,Dubai,College,Self-Employed,F,Married,Basic,0,0
Pakistan,Dubai,Master,Employed,F,Married,Basic,97131,0
Philipines,Dubai,High School or Below,Employed,F,Married,Basic,23712,0
Pakistan,Dubai,Bachelor,Self-Employed,F,Divorced,Basic,0,0
China,Sharjah,Bachelor,Employed,F,Married,Basic,33171,1
China,Dubai,College,Self-Employed,F,Single,Extended,0,0
Pakistan,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
China,Sharjah,College,Employed,M,Divorced,Basic,60228,1
Philipines,Dubai,High School or Below,Employed,M,Married,Extended,27072,1
India,Dubai,Master,Government,M,Divorced,Basic,26057,2
UAE,Dubai,High School or Below,Employed,F,Single,Premium,66331,0
Other,Sharjah,Master,Employed,F,Married,Basic,66030,1
Other,Dubai,College,Employed,M,Married,Basic,59768,1
India,Dubai,College,Employed,F,Married,Basic,45106,0
Philipines,Sharjah,Bachelor,Employed,F,Divorced,Extended,78435,1
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,College,Employed,M,Married,Basic,79507,1
Philipines,Dubai,High School or Below,Employed,M,Married,Basic,44986,1
Philipines,Dubai,College,Employed,M,Divorced,Extended,25899,2
Pakistan,Dubai,Bachelor,Enterpreneur,M,Married,Basic,13610,2
China,Dubai,Doctor,Self-Employed,M,Married,Basic,0,2
India,Dubai,Bachelor,Employed,M,Married,Basic,77362,1
India,Dubai,High School or Below,Employed,M,Single,Basic,96443,2
India,Dubai,Master,Self-Employed,M,Married,Extended,0,2
China,Abu Dhabi,Doctor,Employed,M,Married,Extended,90778,1
India,Dubai,High School or Below,Self-Employed,F,Divorced,Basic,0,0
China,Abu Dhabi,Master,Employed,F,Divorced,Extended,78494,1
India,Sharjah,Doctor,Employed,F,Married,Basic,83497,1
UAE,Dubai,College,Employed,M,Married,Premium,58842,1
Philipines,Sharjah,College,Employed,M,Married,Extended,63935,1
Pakistan,Dubai,Bachelor,Self-Employed,M,Married,Extended,0,2
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
Pakistan,Dubai,College,Self-Employed,F,Single,Extended,0,0
Philipines,Abu Dhabi,Bachelor,Employed,F,Single,Basic,62258,1
China,Dubai,Bachelor,Self-Employed,M,Single,Extended,0,2
India,Dubai,Master,Employed,F,Married,Extended,58516,0
Other,Abu Dhabi,College,Enterpreneur,F,Married,Basic,23285,1
India,Dubai,Bachelor,Employed,F,Married,Basic,56901,0
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
India,Abu Dhabi,Doctor,Employed,M,Married,Basic,99443,1
Pakistan,Sharjah,College,Self-Employed,F,Divorced,Basic,0,0
Philipines,Dubai,Master,Employed,M,Married,Extended,88246,1
Other,Dubai,High School or Below,Self-Employed,M,Single,Extended,0,2
China,Sharjah,College,Employed,M,Married,Basic,64801,1
Pakistan,Abu Dhabi,College,Employed,F,Married,Basic,57029,1
Philipines,Dubai,College,Employed,F,Married,Extended,28045,0
UAE,Sharjah,Master,Employed,M,Married,Premium,44661,1
Philipines,Dubai,High School or Below,Employed,F,Married,Extended,21246,0
China,Dubai,Doctor,Employed,M,Married,Extended,31278,1
India,Dubai,High School or Below,Employed,F,Single,Basic,74454,0
India,Abu Dhabi,Master,Employed,M,Married,Basic,62474,1
China,Dubai,High School or Below,Self-Employed,M,Single,Extended,0,2
Philipines,Sharjah,College,Enterpreneur,M,Divorced,Basic,20647,2
India,Sharjah,Bachelor,Employed,F,Divorced,Extended,33806,1
Pakistan,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
India,Dubai,College,Government,F,Married,Extended,19589,0
India,Sharjah,College,Enterpreneur,F,Married,Basic,22338,1
UAE,Dubai,College,Employed,M,Single,Premium,66839,2
Other,Abu Dhabi,Master,Employed,F,Married,Basic,99428,1
Pakistan,Dubai,College,Employed,F,Married,Basic,31364,0
Other,Dubai,Bachelor,Enterpreneur,M,Divorced,Extended,15340,2
Pakistan,Abu Dhabi,College,Employed,M,Married,Extended,36225,1
Pakistan,Sharjah,Doctor,Self-Employed,F,Married,Basic,0,0
India,Dubai,High School or Below,Self-Employed,M,Divorced,Basic,0,2
India,Sharjah,Bachelor,Employed,F,Married,Basic,77601,1
Pakistan,Abu Dhabi,Master,Employed,M,Married,Extended,74243,1
India,Abu Dhabi,College,Employed,F,Married,Extended,46707,1
Pakistan,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
UAE,Dubai,College,Employed,M,Divorced,Premium,50234,2
UAE,Dubai,Master,Employed,M,Married,Premium,75526,1
Other,Dubai,College,Self-Employed,F,Single,Basic,0,0
China,Dubai,High School or Below,Employed,M,Married,Basic,28343,1
India,Sharjah,Bachelor,Employed,M,Married,Basic,74948,1
UAE,Dubai,High School or Below,Employed,M,Married,Premium,22728,1
India,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
India,Dubai,High School or Below,Enterpreneur,F,Divorced,Basic,17331,0
India,Dubai,College,Employed,F,Married,Basic,35133,0
China,Abu Dhabi,College,Employed,F,Married,Basic,63147,1
India,Sharjah,College,Employed,F,Married,Extended,67575,1
UAE,Dubai,High School or Below,Self-Employed,M,Single,Premium,0,2
India,Dubai,High School or Below,Employed,F,Divorced,Basic,48315,0
UAE,Dubai,High School or Below,Employed,F,Married,Premium,34337,0
Pakistan,Sharjah,High School or Below,Employed,M,Single,Basic,33818,1
India,Dubai,High School or Below,Enterpreneur,F,Married,Extended,22439,0
Pakistan,Abu Dhabi,College,Employed,F,Divorced,Basic,79055,1
China,Sharjah,College,Employed,F,Married,Basic,45191,1
India,Dubai,Bachelor,Employed,M,Married,Basic,41990,1
Pakistan,Sharjah,Master,Employed,F,Married,Basic,50979,1
UAE,Dubai,College,Employed,F,Married,Premium,59888,0
India,Dubai,College,Enterpreneur,M,Married,Extended,20978,2
India,Dubai,High School or Below,Employed,M,Married,Basic,32807,1
China,Dubai,College,Employed,M,Single,Extended,58414,2
Philipines,Abu Dhabi,College,Employed,F,Single,Basic,50071,1
China,Dubai,High School or Below,Employed,F,Married,Basic,67796,0
UAE,Sharjah,Bachelor,Employed,F,Married,Premium,90750,1
Other,Dubai,Master,Self-Employed,M,Single,Extended,0,2
Pakistan,Abu Dhabi,Bachelor,Employed,M,Married,Basic,69387,1
Pakistan,Dubai,Doctor,Employed,M,Divorced,Basic,29084,2
Pakistan,Sharjah,Bachelor,Employed,M,Married,Basic,60214,1
Pakistan,Sharjah,High School or Below,Employed,M,Married,Extended,96018,1
Other,Dubai,High School or Below,Employed,M,Married,Basic,20128,1
UAE,Sharjah,High School or Below,Employed,F,Married,Premium,60233,1
Pakistan,Dubai,Bachelor,Employed,M,Divorced,Extended,52920,2
India,Abu Dhabi,Bachelor,Employed,M,Married,Basic,90310,1
India,Dubai,College,Employed,M,Single,Extended,58414,2
Other,Sharjah,College,Employed,F,Single,Basic,99790,1
Pakistan,Dubai,High School or Below,Government,M,Married,Basic,21159,2
Other,Dubai,Bachelor,Employed,F,Married,Basic,79699,0
Philipines,Abu Dhabi,Bachelor,Employed,F,Married,Basic,68236,1
UAE,Dubai,High School or Below,Employed,F,Single,Premium,59207,0
Other,Dubai,High School or Below,Employed,M,Married,Extended,21499,1
UAE,Sharjah,High School or Below,Employed,M,Married,Premium,77563,1
Philipines,Dubai,College,Employed,F,Divorced,Extended,33415,0
India,Dubai,Bachelor,Employed,F,Married,Extended,20179,0
India,Dubai,Bachelor,Employed,M,Single,Basic,50147,2
Other,Abu Dhabi,Doctor,Employed,F,Divorced,Extended,22492,1
Pakistan,Dubai,Master,Self-Employed,M,Divorced,Extended,0,2
China,Abu Dhabi,High School or Below,Employed,F,Married,Basic,93715,1
UAE,Dubai,High School or Below,Government,M,Married,Premium,23540,2
India,Dubai,College,Enterpreneur,F,Married,Basic,25370,0
China,Sharjah,Bachelor,Employed,F,Divorced,Extended,68771,1
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Abu Dhabi,College,Employed,F,Married,Basic,68562,1
Philipines,Sharjah,High School or Below,Employed,M,Married,Basic,36733,1
China,Sharjah,College,Employed,F,Married,Basic,45768,1
India,Dubai,Bachelor,Self-Employed,F,Married,Basic,0,0
Philipines,Sharjah,Master,Employed,M,Married,Basic,63513,1
Philipines,Abu Dhabi,College,Employed,F,Married,Basic,58161,1
China,Dubai,College,Employed,F,Married,Basic,83640,0
India,Abu Dhabi,Master,Self-Employed,F,Married,Extended,0,0
India,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
UAE,Dubai,High School or Below,Self-Employed,M,Single,Premium,0,2
Philipines,Abu Dhabi,Master,Self-Employed,M,Married,Basic,0,2
China,Dubai,Bachelor,Employed,F,Divorced,Extended,25820,0
India,Dubai,High School or Below,Self-Employed,F,Married,Extended,0,0
India,Dubai,High School or Below,Employed,M,Single,Basic,30366,2
Philipines,Dubai,College,Employed,M,Divorced,Basic,51789,2
Pakistan,Dubai,Master,Self-Employed,M,Single,Extended,0,2
Pakistan,Dubai,Bachelor,Retired,M,Divorced,Basic,18608,2
India,Abu Dhabi,College,Employed,F,Married,Basic,83758,1
China,Dubai,Master,Government,F,Divorced,Basic,22886,0
India,Dubai,High School or Below,Retired,F,Divorced,Extended,11828,0
India,Abu Dhabi,College,Employed,F,Married,Basic,44762,1
UAE,Dubai,Bachelor,Self-Employed,F,Married,Premium,0,0
Philipines,Abu Dhabi,Bachelor,Employed,M,Married,Basic,82664,1
UAE,Dubai,High School or Below,Self-Employed,M,Single,Premium,0,2
Philipines,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
Other,Abu Dhabi,College,Employed,F,Married,Basic,84978,1
India,Dubai,Doctor,Employed,M,Divorced,Extended,24164,2
India,Dubai,College,Self-Employed,F,Married,Extended,0,0
Other,Abu Dhabi,High School or Below,Employed,M,Single,Basic,62777,1
Philipines,Dubai,Bachelor,Government,F,Divorced,Basic,19864,0
Philipines,Dubai,Bachelor,Employed,M,Single,Basic,44428,2
India,Dubai,Bachelor,Government,F,Divorced,Basic,21139,0
India,Dubai,College,Self-Employed,M,Single,Extended,0,2
India,Dubai,Bachelor,Enterpreneur,F,Married,Basic,11896,0
Pakistan,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
India,Dubai,High School or Below,Retired,M,Married,Basic,27972,2
India,Dubai,Doctor,Self-Employed,M,Married,Basic,0,2
Pakistan,Sharjah,High School or Below,Employed,F,Married,Basic,38399,1
Philipines,Abu Dhabi,High School or Below,Employed,F,Married,Basic,20868,1
Pakistan,Abu Dhabi,Bachelor,Employed,M,Single,Basic,49682,1
India,Sharjah,Bachelor,Employed,F,Married,Basic,79090,1
Pakistan,Sharjah,High School or Below,Employed,F,Single,Extended,81850,1
Philipines,Dubai,High School or Below,Enterpreneur,M,Married,Extended,22906,2
Other,Dubai,College,Self-Employed,M,Single,Extended,0,2
Other,Dubai,Bachelor,Employed,M,Single,Extended,37138,2
China,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Pakistan,Dubai,College,Employed,F,Single,Extended,21024,0
UAE,Dubai,High School or Below,Self-Employed,M,Single,Premium,0,2
Pakistan,Abu Dhabi,High School or Below,Employed,F,Divorced,Extended,77135,1
Other,Dubai,College,Self-Employed,M,Divorced,Basic,0,2
Philipines,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
Pakistan,Sharjah,Bachelor,Employed,F,Married,Basic,72845,1
Pakistan,Dubai,High School or Below,Employed,F,Divorced,Basic,51622,0
Philipines,Dubai,Bachelor,Self-Employed,M,Divorced,Basic,0,2
Pakistan,Dubai,Bachelor,Enterpreneur,F,Married,Basic,15616,0
Pakistan,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
Other,Dubai,College,Retired,M,Married,Extended,23091,2
Pakistan,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,Bachelor,Enterpreneur,F,Married,Basic,22699,0
Other,Dubai,Bachelor,Enterpreneur,M,Divorced,Basic,14072,2
India,Sharjah,High School or Below,Employed,F,Divorced,Basic,81713,1
India,Dubai,Bachelor,Employed,F,Married,Basic,56516,0
Pakistan,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
